"id";"address";"exchanged"
62;"131.243.146.230";"{""Volume"": 256, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 256, ""Nombreout"": 4, ""Volumein"": 0}}, ""id"": 122}"
63;"128.3.211.7";"{""Volume"": 512, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 512, ""Nombreout"": 8, ""Volumein"": 0}}, ""id"": 283}"
64;"128.3.48.113";"{""Volume"": 128, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 128, ""Nombreout"": 2, ""Volumein"": 0}}, ""id"": 293}"
65;"128.3.37.195";"{""Volume"": 512, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 512, ""Nombreout"": 8, ""Volumein"": 0}}, ""id"": 208}"
66;"128.3.71.61";"{""Volume"": 128, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 128, ""Nombreout"": 2, ""Volumein"": 0}}, ""id"": 195}"
67;"131.243.141.85";"{""Volume"": 448, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 448, ""Nombreout"": 7, ""Volumein"": 0}}, ""id"": 310}"
68;"131.243.107.131";"{""Volume"": 128, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 128, ""Nombreout"": 2, ""Volumein"": 0}}, ""id"": 116}"
69;"128.3.7.12";"{""Volume"": 640, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 640, ""Nombreout"": 10, ""Volumein"": 0}}, ""id"": 35}"
70;"131.243.94.204";"{""Volume"": 3200, ""Protocole"": {""Autre"": {""Nombrein"": 16, ""Volumeout"": 2176, ""Nombreout"": 34, ""Volumein"": 1024}}, ""id"": 108}"
71;"128.3.242.8";"{""Volume"": 320, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 320, ""Nombreout"": 5, ""Volumein"": 0}}, ""id"": 72}"
72;"128.3.208.31";"{""Volume"": 1728, ""Protocole"": {""ICMP"": {""Nombrein"": 1, ""Volumeout"": 64, ""Nombreout"": 1, ""Volumein"": 64}, ""SMB"": {""Nombrein"": 14, ""Volumeout"": 704, ""Nombreout"": 11, ""Volumein"": 896}}, ""id"": 219}"
73;"131.243.14.184";"{""Volume"": 896, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 896, ""Nombreout"": 14, ""Volumein"": 0}}, ""id"": 109}"
74;"131.243.88.135";"{""Volume"": 256, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 256, ""Nombreout"": 4, ""Volumein"": 0}}, ""id"": 128}"
75;"131.243.91.100";"{""Volume"": 256, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 256, ""Nombreout"": 4, ""Volumein"": 0}}, ""id"": 231}"
76;"128.3.161.74";"{""Volume"": 1728, ""Protocole"": {""Autre"": {""Nombrein"": 8, ""Volumeout"": 576, ""Nombreout"": 9, ""Volumein"": 512}, ""ICMP"": {""Nombrein"": 5, ""Volumeout"": 320, ""Nombreout"": 5, ""Volumein"": 320}}, ""id"": 7}"
77;"128.3.210.223";"{""Volume"": 384, ""Protocole"": {""Autre"": {""Nombrein"": 3, ""Volumeout"": 192, ""Nombreout"": 3, ""Volumein"": 192}}, ""id"": 168}"
78;"131.243.140.115";"{""Volume"": 512, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 512, ""Nombreout"": 8, ""Volumein"": 0}}, ""id"": 217}"
79;"131.243.84.56";"{""Volume"": 320, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 320, ""Nombreout"": 5, ""Volumein"": 0}}, ""id"": 141}"
80;"131.243.155.28";"{""Volume"": 192, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 192, ""Nombreout"": 3, ""Volumein"": 0}}, ""id"": 289}"
81;"131.243.15.9";"{""Volume"": 704, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 704, ""Nombreout"": 11, ""Volumein"": 0}}, ""id"": 40}"
82;"255.255.255.255";"{""Volume"": 128, ""Protocole"": {""Autre"": {""Nombrein"": 2, ""Volumeout"": 0, ""Nombreout"": 0, ""Volumein"": 128}}, ""id"": 243}"
83;"128.3.210.98";"{""Volume"": 256, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 256, ""Nombreout"": 4, ""Volumein"": 0}}, ""id"": 333}"
84;"131.243.155.20";"{""Volume"": 2688, ""Protocole"": {""Autre"": {""Nombrein"": 21, ""Volumeout"": 1344, ""Nombreout"": 21, ""Volumein"": 1344}}, ""id"": 74}"
85;"128.3.161.98";"{""Volume"": 1395904, ""Protocole"": {""Autre"": {""Nombrein"": 7345, ""Volumeout"": 925824, ""Nombreout"": 14466, ""Volumein"": 470080}}, ""id"": 59}"
86;"128.3.112.243";"{""Volume"": 320, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 320, ""Nombreout"": 5, ""Volumein"": 0}}, ""id"": 58}"
87;"128.3.211.136";"{""Volume"": 1024, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 1024, ""Nombreout"": 16, ""Volumein"": 0}}, ""id"": 86}"
88;"131.243.219.194";"{""Volume"": 512, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 512, ""Nombreout"": 8, ""Volumein"": 0}}, ""id"": 147}"
89;"128.3.194.247";"{""Volume"": 256, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 256, ""Nombreout"": 4, ""Volumein"": 0}}, ""id"": 112}"
90;"128.3.63.83";"{""Volume"": 384, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 384, ""Nombreout"": 6, ""Volumein"": 0}}, ""id"": 139}"
91;"131.243.95.181";"{""Volume"": 512, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 512, ""Nombreout"": 8, ""Volumein"": 0}}, ""id"": 121}"
92;"131.243.63.143";"{""Volume"": 6848, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 6848, ""Nombreout"": 107, ""Volumein"": 0}}, ""id"": 33}"
93;"239.255.255.253";"{""Volume"": 144576, ""Protocole"": {""Autre"": {""Nombrein"": 2259, ""Volumeout"": 0, ""Nombreout"": 0, ""Volumein"": 144576}}, ""id"": 3}"
94;"239.255.255.250";"{""Volume"": 2432, ""Protocole"": {""Autre"": {""Nombrein"": 38, ""Volumeout"": 0, ""Nombreout"": 0, ""Volumein"": 2432}}, ""id"": 39}"
95;"131.243.208.213";"{""Volume"": 512, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 512, ""Nombreout"": 8, ""Volumein"": 0}}, ""id"": 190}"
96;"131.243.91.149";"{""Volume"": 64, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 64, ""Nombreout"": 1, ""Volumein"": 0}}, ""id"": 341}"
97;"131.243.91.224";"{""Volume"": 768, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 768, ""Nombreout"": 12, ""Volumein"": 0}}, ""id"": 314}"
98;"131.243.13.202";"{""Volume"": 128, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 128, ""Nombreout"": 2, ""Volumein"": 0}}, ""id"": 83}"
99;"131.243.84.27";"{""Volume"": 512, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 512, ""Nombreout"": 8, ""Volumein"": 0}}, ""id"": 322}"
100;"128.3.191.173";"{""Volume"": 448, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 448, ""Nombreout"": 7, ""Volumein"": 0}}, ""id"": 204}"
101;"128.3.162.146";"{""Volume"": 768, ""Protocole"": {""ICMP"": {""Nombrein"": 6, ""Volumeout"": 384, ""Nombreout"": 6, ""Volumein"": 384}}, ""id"": 79}"
102;"131.243.140.225";"{""Volume"": 2560, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 2560, ""Nombreout"": 40, ""Volumein"": 0}}, ""id"": 95}"
