"id";"hostSrc";"hostDest";"portSrc";"portDest";"protocol"
1306;"128.3.255.49";"59.69.237.47";3551;80;"TCP"
1307;"128.3.255.49";"59.69.237.47";3745;80;"TCP"
1308;"128.3.255.49";"58.68.205.25";3898;80;"TCP"
1309;"128.3.255.139";"59.69.192.211";1051;80;"TCP"
1310;"128.3.255.46";"131.243.160.98";2065;7777;"TCP"
1311;"128.3.161.177";"128.3.255.241";1425;161;"UDP"
1312;"128.3.255.24";"131.243.160.251";1255;443;"TCP"
1313;"128.3.255.49";"59.69.237.47";3867;80;"TCP"
1314;"131.243.141.124";"128.3.255.229";2689;161;"UDP"
1315;"128.3.161.177";"128.3.255.90";1566;161;"UDP"
1316;"128.3.208.188";"239.255.255.253";52781;427;"UDP"
1317;"128.3.255.148";"131.243.142.214";3015;524;"TCP"
1318;"131.243.103.106";"239.255.255.253";56003;427;"UDP"
1319;"128.3.255.224";"128.3.161.62";2967;1056;"UDP"
1320;"128.3.255.49";"59.69.237.47";3863;80;"TCP"
1321;"128.3.255.106";"128.3.161.74";1058;524;"TCP"
1322;"128.3.161.177";"128.3.255.90";1693;161;"UDP"
1323;"128.3.255.229";"131.243.141.124";161;2708;"UDP"
1324;"131.243.26.9";"128.3.255.131";123;123;"UDP"
1325;"131.243.142.214";"128.3.255.181";524;3017;"TCP"
1326;"128.3.255.229";"131.243.141.124";161;2700;"UDP"
1327;"128.3.255.229";"131.243.141.124";161;2701;"UDP"
1328;"128.3.255.229";"131.243.141.124";161;2702;"UDP"
1329;"128.3.255.229";"131.243.141.124";161;2703;"UDP"
1330;"128.3.255.229";"131.243.141.124";161;2704;"UDP"
1331;"128.3.255.108";"128.3.164.15";1050;993;"TCP"
1332;"128.3.255.229";"131.243.141.124";161;2706;"UDP"
1333;"128.3.255.229";"131.243.141.124";161;2707;"UDP"
1334;"118.141.186.207";"128.3.255.172";80;2081;"TCP"
1335;"128.3.161.177";"128.3.255.229";4904;161;"UDP"
1336;"131.243.103.13";"239.255.255.253";54250;427;"UDP"
1337;"131.243.88.197";"239.255.255.253";50630;427;"UDP"
1338;"131.243.142.216";"239.255.255.253";50984;427;"UDP"
1339;"128.3.255.49";"204.52.78.119";3852;80;"TCP"
1340;"131.243.143.142";"224.0.1.22";427;427;"UDP"
